_id,year,month,live_births,marriages,deaths,stillbirths,population_growth,natural_increase,natural_growth_rate
1,1994,January,11631,2078,8094,75,,3537,30.41%
2,1994,February,11254,2650,6428,62,1554.11%,4826,42.88%
3,1994,March,13003,2557,6503,73,-328.39%,6500,49.99%
4,1994,April,12576,3967,6224,74,527.99%,6352,50.51%
5,1994,May,13240,6493,6483,67,-126.89%,6757,51.03%
6,1994,June,13072,7754,6187,66,-20.65%,6885,52.67%
7,1994,July,13045,9264,6196,70,-48.29%,6849,52.50%
8,1994,August,12982,9194,5926,79,-435.99%,7056,54.35%
9,1994,September,12416,8540,6062,60,-459.89%,6354,51.18%
10,1994,October,11845,7400,6515,59,-251.58%,5330,45.00%
11,1994,November,11547,3313,6247,56,-45.03%,5300,45.90%
12,1994,December,11495,3464,6931,43,100.91%,4564,39.70%
13,1995,January,11611,2007,6946,78,-438.38%,4665,40.18%
14,1995,February,11102,2579,6744,84,1679.88%,4358,39.25%
15,1995,March,12967,2737,7278,75,-367.86%,5689,43.87%
16,1995,April,12490,3666,6702,87,726.98%,5788,46.34%
17,1995,May,13398,6563,6690,112,-190.33%,6708,50.07%
18,1995,June,13143,8073,6179,76,-85.98%,6964,52.99%
19,1995,July,13030,8918,6337,60,-128.17%,6693,51.37%
20,1995,August,12863,9412,6081,100,-321.08%,6782,52.72%
21,1995,September,12450,9983,6060,78,-326.10%,6390,51.33%
22,1995,October,12044,6475,6391,89,-817.00%,5653,46.94%
23,1995,November,11060,3473,6403,70,-191.68%,4657,42.11%
24,1995,December,10848,3635,6918,75,589.05%,3930,36.23%
25,1996,January,11487,1980,7151,94,-371.72%,4336,37.75%
26,1996,February,11060,2713,6524,74,1020.80%,4536,41.01%
27,1996,March,12189,2522,6933,72,-114.86%,5256,43.12%
28,1996,April,12049,3179,6476,77,513.74%,5573,46.25%
29,1996,May,12668,6284,6534,94,-419.17%,6134,48.42%
30,1996,June,12137,9238,6079,70,273.54%,6058,49.91%
31,1996,July,12469,7638,6231,73,-135.54%,6238,50.03%
32,1996,August,12300,10709,6238,76,-326.83%,6062,49.28%
33,1996,September,11898,8640,6039,53,-289.96%,5859,49.24%
34,1996,October,11553,6574,6927,64,-1059.47%,4626,40.04%
35,1996,November,10329,3559,6556,52,409.53%,3773,36.53%
36,1996,December,10752,3135,7593,58,-11.16%,3159,29.38%
37,1997,January,10740,1823,8084,102,-631.28%,2656,24.73%
38,1997,February,10062,2664,6518,64,1480.82%,3544,35.22%
39,1997,March,11552,2367,7001,62,307.31%,4551,39.40%
40,1997,April,11907,3192,6544,84,188.12%,5363,45.04%
41,1997,May,12131,7075,6620,82,-553.95%,5511,45.43%
42,1997,June,11459,7843,6349,67,414.52%,5110,44.59%
43,1997,July,11934,7726,6209,75,-548.85%,5725,47.97%
44,1997,August,11279,10721,6088,62,-215.44%,5191,46.02%
45,1997,September,11036,8076,6086,57,-15.40%,4950,44.85%
46,1997,October,11019,6487,6792,68,-822.22%,4227,38.36%
47,1997,November,10113,3375,6535,45,354.00%,3578,35.38%
48,1997,December,10471,2892,6937,19,403.97%,3534,33.75%
49,1998,January,10894,1838,7239,66,-182.67%,3655,33.55%
50,1998,February,10695,2875,7551,63,1309.02%,3144,29.40%
51,1998,March,12095,2193,7745,87,52.91%,4350,35.97%
52,1998,April,12159,2938,6431,78,292.79%,5728,47.11%
53,1998,May,12515,6692,6516,85,-557.73%,5999,47.93%
54,1998,June,11817,7736,6185,61,435.81%,5632,47.66%
55,1998,July,12332,8065,6141,70,-512.49%,6191,50.20%
56,1998,August,11700,10801,6197,54,188.03%,5503,47.03%
57,1998,September,11920,8197,6064,68,-578.86%,5856,49.13%
58,1998,October,11230,7105,6588,80,-907.39%,4642,41.34%
59,1998,November,10211,3125,6744,74,442.66%,3467,33.95%
60,1998,December,10663,2990,6986,68,40.33%,3677,34.48%
61,1999,January,10706,1991,7794,69,-380.16%,2912,27.20%
62,1999,February,10299,2364,7087,76,1371.01%,3212,31.19%
63,1999,March,11711,2374,7695,75,-384.25%,4016,34.29%
64,1999,April,11261,3107,6457,58,586.98%,4804,42.66%
65,1999,May,11922,6774,6617,72,98.14%,5305,44.50%
66,1999,June,12039,7488,6087,75,184.40%,5952,49.44%
67,1999,July,12261,9519,6296,64,-521.98%,5965,48.65%
68,1999,August,11621,9959,6289,61,114.45%,5332,45.88%
69,1999,September,11754,8589,6224,77,-655.10%,5530,47.05%
70,1999,October,10984,7757,6666,77,-670.07%,4318,39.31%
71,1999,November,10248,3270,6585,63,459.60%,3663,35.74%
72,1999,December,10719,2943,7786,77,261.22%,2933,27.36%
73,2000,January,10999,1912,8537,85,-336.39%,2462,22.38%
74,2000,February,10629,2607,6672,77,1085.71%,3957,37.23%
75,2000,March,11783,2388,6978,60,-499.87%,4805,40.78%
76,2000,April,11194,3358,6433,70,798.64%,4761,42.53%
77,2000,May,12088,6284,6605,75,-354.07%,5483,45.36%
78,2000,June,11660,7669,6276,66,45.45%,5384,46.17%
79,2000,July,11713,9080,6515,55,-361.14%,5198,44.38%
80,2000,August,11290,9455,6174,78,-372.01%,5116,45.31%
81,2000,September,10870,10130,6302,74,-399.26%,4568,42.02%
82,2000,October,10436,6402,6856,60,-263.51%,3580,34.30%
83,2000,November,10161,3099,6783,72,-138.77%,3378,33.24%
84,2000,December,10020,3056,7395,48,816.37%,2625,26.20%
85,2001,January,10838,1826,7456,72,-445.65%,3382,31.21%
86,2001,February,10355,2251,6589,75,1348.14%,3766,36.37%
87,2001,March,11751,2600,7268,52,-60.42%,4483,38.15%
88,2001,April,11680,3037,6708,68,568.49%,4972,42.57%
89,2001,May,12344,5634,6761,86,-469.05%,5583,45.23%
90,2001,June,11765,8317,6547,73,280.49%,5218,44.35%
91,2001,July,12095,8130,6552,82,-123.19%,5543,45.83%
92,2001,August,11946,9450,6606,79,-64.46%,5340,44.70%
93,2001,September,11869,9304,6331,60,-144.92%,5538,46.66%
94,2001,October,11697,6059,6978,79,-872.87%,4719,40.34%
95,2001,November,10676,2993,6619,70,-41.21%,4057,38.00%
96,2001,December,10632,2983,7052,53,259.59%,3580,33.67%
97,2002,January,10908,1722,7301,79,-778.33%,3607,33.07%
98,2002,February,10059,2396,6538,77,1120.39%,3521,35.00%
99,2002,March,11186,2391,7465,69,25.03%,3721,33.26%
100,2002,April,11214,2730,6687,86,391.47%,4527,40.37%
101,2002,May,11653,5287,6762,69,-348.41%,4891,41.97%
102,2002,June,11247,8451,6330,68,553.93%,4917,43.72%
103,2002,July,11870,7473,6754,82,63.18%,5116,43.10%
104,2002,August,11945,10628,6547,67,-30.14%,5398,45.19%
105,2002,September,11909,8100,6391,62,-279.62%,5518,46.33%
106,2002,October,11576,6321,6947,55,-575.33%,4629,39.99%
107,2002,November,10910,3249,7114,57,-283.23%,3796,34.79%
108,2002,December,10601,2898,7589,59,106.59%,3012,28.41%
109,2003,January,10714,1825,7858,58,-570.28%,2856,26.66%
110,2003,February,10103,2417,6765,46,1333.27%,3338,33.04%
111,2003,March,11450,2391,7434,47,-169.43%,4016,35.07%
112,2003,April,11256,2672,6853,39,644.99%,4403,39.12%
113,2003,May,11982,6224,6791,24,-317.14%,5191,43.32%
114,2003,June,11602,7637,6565,8,757.63%,5037,43.41%
115,2003,July,12481,8038,6705,0,-393.40%,5776,46.28%
116,2003,August,11990,11083,6598,2,214.35%,5392,44.97%
117,2003,September,12247,8315,6468,2,-387.03%,5779,47.19%
118,2003,October,11773,6687,7186,2,-660.83%,4587,38.96%
119,2003,November,10995,3390,7075,0,121.87%,3920,35.65%
120,2003,December,11129,2803,8126,0,53.91%,3003,26.98%
121,2004,January,11189,1953,8067,79,-403.97%,3122,27.90%
122,2004,February,10737,2638,6959,81,1097.14%,3778,35.19%
123,2004,March,11915,2147,7177,86,-112.46%,4738,39.77%
124,2004,April,11781,2801,6877,74,102.71%,4904,41.63%
125,2004,May,11902,6042,6655,78,-68.06%,5247,44.09%
126,2004,June,11821,7226,6501,66,275.78%,5320,45.00%
127,2004,July,12147,9240,6539,81,-127.60%,5608,46.17%
128,2004,August,11992,9870,6518,67,114.24%,5474,45.65%
129,2004,September,12129,7853,6450,67,-339.68%,5679,46.82%
130,2004,October,11717,7193,7224,65,-421.61%,4493,38.35%
131,2004,November,11223,2736,6849,44,-24.95%,4374,38.97%
132,2004,December,11195,2730,7558,52,120.59%,3637,32.49%
133,2005,January,11330,1824,7905,70,-909.09%,3425,30.23%
134,2005,February,10300,2222,7281,77,1783.50%,3019,29.31%
135,2005,March,12137,2034,8032,90,-234.82%,4105,33.82%
136,2005,April,11852,3163,7220,86,264.93%,4632,39.08%
137,2005,May,12166,5268,7175,65,74.80%,4991,41.02%
138,2005,June,12257,7041,6685,73,372.85%,5572,45.46%
139,2005,July,12714,9513,6745,95,-191.13%,5969,46.95%
140,2005,August,12471,9469,6756,75,34.48%,5715,45.83%
141,2005,September,12514,8368,6502,76,-461.88%,6012,48.04%
142,2005,October,11936,7119,7078,100,-742.29%,4858,40.70%
143,2005,November,11050,2751,7031,73,47.06%,4019,36.37%
144,2005,December,11102,2920,7401,75,41.43%,3701,33.34%
145,2006,January,11148,1964,7449,77,-647.65%,3699,33.18%
146,2006,February,10426,2448,6732,64,1370.61%,3694,35.43%
147,2006,March,11855,2354,7630,87,-501.90%,4225,35.64%
148,2006,April,11260,3235,6953,79,1011.55%,4307,38.25%
149,2006,May,12399,5188,7240,85,-303.25%,5159,41.61%
150,2006,June,12023,7383,6524,111,321.05%,5499,45.74%
151,2006,July,12409,8974,6613,88,374.73%,5796,46.71%
152,2006,August,12874,9540,6872,99,-180.98%,6002,46.62%
153,2006,September,12641,9725,6677,96,-290.33%,5964,47.18%
154,2006,October,12274,6257,7400,111,-718.59%,4874,39.71%
155,2006,November,11392,2835,7089,96,-46.52%,4303,37.77%
156,2006,December,11339,3029,7719,75,-2.65%,3620,31.93%
157,2007,January,11336,1937,8230,96,-643.08%,3106,27.40%
158,2007,February,10607,2310,7550,87,1284.06%,3057,28.82%
159,2007,March,11969,2453,7834,81,-129.50%,4135,34.55%
160,2007,April,11814,2872,7220,86,404.60%,4594,38.89%
161,2007,May,12292,4979,7119,95,120.40%,5173,42.08%
162,2007,June,12440,7714,6822,115,274.12%,5618,45.16%
163,2007,July,12781,9033,6987,102,179.95%,5794,45.33%
164,2007,August,13011,9401,6544,106,-334.33%,6467,49.70%
165,2007,September,12576,8996,6717,98,-127.23%,5859,46.59%
166,2007,October,12416,5663,7234,103,-500.16%,5182,41.74%
167,2007,November,11795,2957,7350,118,-107.67%,4445,37.69%
168,2007,December,11668,2826,7981,91,160.27%,3687,31.60%
169,2008,January,11855,1773,7762,118,-501.90%,4093,34.53%
170,2008,February,11260,2306,7405,97,571.94%,3855,34.24%
171,2008,March,11904,2255,7974,96,213.37%,3930,33.01%
172,2008,April,12158,2629,7732,106,276.36%,4426,36.40%
173,2008,May,12494,5624,7315,115,-210.50%,5179,41.45%
174,2008,June,12231,7156,6756,87,547.79%,5475,44.76%
175,2008,July,12901,7598,6945,99,-309.28%,5956,46.17%
176,2008,August,12502,11532,6851,103,367.94%,5651,45.20%
177,2008,September,12962,7483,6714,98,-353.34%,6248,48.20%
178,2008,October,12504,6205,7546,98,-806.14%,4958,39.65%
179,2008,November,11496,3169,7395,99,-114.82%,4101,35.67%
180,2008,December,11364,2615,7878,90,106.48%,3486,30.68%
181,2009,January,11485,1943,8389,116,-626.03%,3096,26.96%
182,2009,February,10766,2322,7189,88,1362.62%,3577,33.22%
183,2009,March,12233,2136,7856,94,-104.64%,4377,35.78%
184,2009,April,12105,2643,7310,104,274.27%,4795,39.61%
185,2009,May,12437,5449,7343,108,39.40%,5094,40.96%
186,2009,June,12486,6759,7136,93,567.84%,5350,42.85%
187,2009,July,13195,7754,7002,94,-357.71%,6193,46.93%
188,2009,August,12723,10579,6817,89,95.89%,5906,46.42%
189,2009,September,12845,7870,6790,100,-270.92%,6055,47.14%
190,2009,October,12497,6821,7634,97,-933.02%,4863,38.91%
191,2009,November,11331,2698,7388,85,-79.43%,3943,34.80%
192,2009,December,11241,2432,7823,93,323.81%,3418,30.41%
193,2010,January,11605,1996,8059,105,-923.74%,3546,30.56%
194,2010,February,10533,2066,7135,85,1606.38%,3398,32.26%
195,2010,March,12225,2002,7889,102,-356.65%,4336,35.47%
196,2010,April,11789,2608,7256,94,363.90%,4533,38.45%
197,2010,May,12218,5237,7359,106,-185.79%,4859,39.77%
198,2010,June,11991,6433,6699,84,115.92%,5292,44.13%
199,2010,July,12130,8870,7096,104,316.57%,5034,41.50%
200,2010,August,12514,9640,7186,91,41.55%,5328,42.58%
201,2010,September,12566,7584,7220,82,-21.49%,5346,42.54%
202,2010,October,12539,7523,7850,77,-878.06%,4689,37.40%
203,2010,November,11438,2779,7457,81,143.38%,3981,34.81%
204,2010,December,11602,2590,8347,71,-33.61%,3255,28.06%
205,2011,January,11563,1991,8614,89,-822.45%,2949,25.50%
206,2011,February,10612,2192,7548,91,985.68%,3064,28.87%
207,2011,March,11658,2164,8093,105,-146.68%,3565,30.58%
208,2011,April,11487,2979,7543,96,668.58%,3944,34.33%
209,2011,May,12255,4773,7611,98,76.70%,4644,37.89%
210,2011,June,12349,6599,6920,91,542.55%,5429,43.96%
211,2011,July,13019,8830,7157,118,-265.77%,5862,45.03%
212,2011,August,12673,8748,7050,117,-205.95%,5623,44.37%
213,2011,September,12412,8090,6963,120,-229.62%,5449,43.90%
214,2011,October,12127,6667,7621,114,-357.05%,4506,37.16%
215,2011,November,11694,3188,7464,98,-315.55%,4230,36.17%
216,2011,December,11325,2585,7708,108,316.11%,3617,31.94%
217,2012,January,11683,2000,8127,132,-465.63%,3556,30.44%
218,2012,February,11139,2412,7386,119,762.19%,3753,33.69%
219,2012,March,11988,2373,7812,127,-340.34%,4176,34.83%
220,2012,April,11580,2818,7498,126,631.26%,4082,35.25%
221,2012,May,12311,4761,7549,125,-184.39%,4762,38.68%
222,2012,June,12084,7503,6915,138,458.46%,5169,42.78%
223,2012,July,12638,7765,7132,95,368.73%,5506,43.57%
224,2012,August,13104,9333,7365,134,-481.53%,5739,43.80%
225,2012,September,12473,8959,7086,102,78.57%,5387,43.19%
226,2012,October,12571,5974,7788,87,-740.59%,4783,38.05%
227,2012,November,11640,2990,7658,105,-168.38%,3982,34.21%
228,2012,December,11444,3356,8773,98,328.56%,2671,23.34%
229,2013,January,11820,1890,9423,127,-976.31%,2397,20.28%
230,2013,February,10666,2128,7662,107,882.24%,3004,28.16%
231,2013,March,11607,2260,8120,117,-298.96%,3487,30.04%
232,2013,April,11260,2692,7678,108,986.68%,3582,31.81%
233,2013,May,12371,4707,7607,137,-417.91%,4764,38.51%
234,2013,June,11854,7494,7130,109,757.55%,4724,39.85%
235,2013,July,12752,7183,7498,118,-38.43%,5254,41.20%
236,2013,August,12703,9740,7215,119,-312.52%,5488,43.20%
237,2013,September,12306,7929,7194,126,-44.69%,5112,41.54%
238,2013,October,12251,5764,7806,127,-741.16%,4445,36.28%
239,2013,November,11343,3072,7815,93,-9.70%,3528,31.10%
240,2013,December,11332,2501,8543,92,302.68%,2789,24.61%
241,2014,January,11675,1982,8940,124,-909.64%,2735,23.43%
242,2014,February,10613,2330,7671,117,1060.02%,2942,27.72%
243,2014,March,11738,2348,8392,123,-377.41%,3346,28.51%
244,2014,April,11295,2667,8137,114,1027.00%,3158,27.96%
245,2014,May,12455,5538,8024,156,-247.29%,4431,35.58%
246,2014,June,12147,7195,7422,123,613.32%,4725,38.90%
247,2014,July,12892,7242,7346,117,-160.56%,5546,43.02%
248,2014,August,12685,10830,7659,122,-258.57%,5026,39.62%
249,2014,September,12357,7752,7578,118,-191.79%,4779,38.67%
250,2014,October,12120,6089,7977,123,-739.27%,4143,34.18%
251,2014,November,11224,3172,8254,126,-41.87%,2970,26.46%
252,2014,December,11177,2611,8822,91,338.19%,2355,21.07%
253,2015,January,11555,2060,9831,121,-863.70%,1724,14.92%
254,2015,February,10557,2284,8449,112,1238.04%,2108,19.97%
255,2015,March,11864,2176,8610,116,-289.11%,3254,27.43%
256,2015,April,11521,2721,8177,146,590.23%,3344,29.03%
257,2015,May,12201,5679,7913,125,-40.16%,4288,35.14%
258,2015,June,12152,6846,7336,101,557.93%,4816,39.63%
259,2015,July,12830,7854,7647,137,-281.37%,5183,40.40%
260,2015,August,12469,11004,7679,137,21.65%,4790,38.42%
261,2015,September,12496,8131,7430,121,-332.91%,5066,40.54%
262,2015,October,12080,6795,8349,122,-655.63%,3731,30.89%
263,2015,November,11288,2869,7907,106,-180.72%,3381,29.95%
264,2015,December,11084,2595,8306,126,169.61%,2778,25.06%
265,2016,January,11272,2136,8751,123,-163.24%,2521,22.37%
266,2016,February,11088,2304,8317,119,810.79%,2771,24.99%
267,2016,March,11987,2104,8858,123,-230.25%,3129,26.10%
268,2016,April,11711,3205,8332,99,450.00%,3379,28.85%
269,2016,May,12238,5083,8410,127,-305.61%,3828,31.28%
270,2016,June,11864,6884,7492,122,752.70%,4372,36.85%
271,2016,July,12757,8916,7691,91,83.09%,5066,39.71%
272,2016,August,12863,9440,7982,116,-181.14%,4881,37.95%
273,2016,September,12630,8640,7816,101,-410.93%,4814,38.12%
274,2016,October,12111,7207,8650,123,-741.47%,3461,28.58%
275,2016,November,11213,3033,8421,121,-237.22%,2792,24.90%
276,2016,December,10947,2732,9046,114,550.84%,1901,17.37%
277,2017,January,11550,2028,10044,127,-698.70%,1506,13.04%
278,2017,February,10743,2246,8696,125,1024.85%,2047,19.05%
279,2017,March,11844,2387,9095,150,-151.13%,2749,23.21%
280,2017,April,11665,3121,8182,99,555.51%,3483,29.86%
281,2017,May,12313,5054,8330,144,-39.80%,3983,32.35%
282,2017,June,12264,7052,8008,132,311.48%,4256,34.70%
283,2017,July,12646,8669,8101,117,143.92%,4545,35.94%
284,2017,August,12828,9277,8277,118,-226.07%,4551,35.48%
285,2017,September,12538,9906,8239,148,-257.62%,4299,34.29%
286,2017,October,12215,6752,8658,128,-488.74%,3557,29.12%
287,2017,November,11618,3212,8811,139,-188.50%,2807,24.16%
288,2017,December,11399,2855,9594,100,240.37%,1805,15.83%
289,2018,January,11673,2154,10844,120,-950.91%,829,7.10%
290,2018,February,10563,2401,9234,106,1284.67%,1329,12.58%
291,2018,March,11920,2639,9518,117,-509.23%,2402,20.15%
292,2018,April,11313,3220,8878,128,1175.64%,2435,21.52%
293,2018,May,12643,4787,8656,125,-441.35%,3987,31.54%
294,2018,June,12085,7451,8257,131,586.68%,3828,31.68%
295,2018,July,12794,7877,8324,118,-58.62%,4470,34.94%
296,2018,August,12719,10284,8348,131,-366.38%,4371,34.37%
297,2018,September,12253,9908,8299,124,-28.56%,3954,32.27%
298,2018,October,12218,6801,8897,122,-645.77%,3321,27.18%
299,2018,November,11429,3422,8963,116,-308.86%,2466,21.58%
300,2018,December,11076,3060,9373,100,489.35%,1703,15.38%
301,2019,January,11618,2175,9968,131,-1007.06%,1650,14.20%
302,2019,February,10448,2366,8827,110,1052.83%,1621,15.51%
303,2019,March,11548,2786,9413,135,89.19%,2135,18.49%
304,2019,April,11651,3099,8850,112,342.46%,2801,24.04%
305,2019,May,12050,5046,8922,140,13.28%,3128,25.96%
306,2019,June,12066,7733,8286,119,672.97%,3780,31.33%
307,2019,July,12878,7278,8522,127,66.00%,4356,33.83%
308,2019,August,12963,9856,8494,147,-450.51%,4469,34.48%
309,2019,September,12379,8869,8329,100,-111.48%,4050,32.72%
310,2019,October,12241,6769,9198,126,-722.16%,3043,24.86%
311,2019,November,11357,3711,9341,122,-151.45%,2016,17.75%
312,2019,December,11185,2851,9715,100,319.18%,1470,13.14%
313,2020,January,11542,2258,10166,129,-778.89%,1376,11.92%
314,2020,February,10643,3308,8941,124,831.53%,1702,15.99%
315,2020,March,11528,1829,9638,123,-90.22%,1890,16.39%
316,2020,April,11424,597,11144,144,650.39%,280,2.45%
317,2020,May,12167,1142,10129,135,-311.50%,2038,16.75%
318,2020,June,11788,2109,8686,110,704.11%,3102,26.31%
319,2020,July,12618,3562,8925,108,-370.90%,3693,29.27%
320,2020,August,12150,7061,8901,98,-213.99%,3249,26.74%
321,2020,September,11890,6644,8967,110,-206.90%,2923,24.58%
322,2020,October,11644,6767,9759,97,-809.86%,1885,16.19%
323,2020,November,10701,2797,10021,106,-385.95%,680,6.35%
324,2020,December,10288,2554,10794,96,-40.82%,-506,-4.92%
325,2021,January,10246,1320,11620,102,122.00%,-1374,-13.41%
326,2021,February,10371,1468,9456,97,1672.93%,915,8.82%
327,2021,March,12106,1904,9780,114,-432.02%,2326,19.21%
328,2021,April,11583,1837,9907,87,638.87%,1676,14.47%
329,2021,May,12323,2997,9905,115,331.90%,2418,19.62%
330,2021,June,12732,4450,8768,109,153.16%,3964,31.13%
331,2021,July,12927,6559,8939,104,-99.02%,3988,30.85%
332,2021,August,12799,9551,9360,94,-53.13%,3439,26.87%
333,2021,September,12731,8867,9525,91,-290.63%,3206,25.18%
334,2021,October,12361,7763,10033,85,-619.69%,2328,18.83%
335,2021,November,11595,3435,10015,104,-321.69%,1580,13.63%
336,2021,December,11222,3033,10641,93,-62.38%,581,5.18%
337,2022,January,11152,"1,756",13093,116,-1013.27%,-1941,-17.40%
338,2022,February,10022,"2,716",10338,106,1103.57%,-316,-3.15%
339,2022,March,11128,"2,420",9998,125,-115.03%,1130,10.15%
340,2022,April,11000,"3,088",9753,94,817.27%,1247,11.34%
341,2022,May,11899,"5,880",10003,124,35.30%,1896,15.93%
342,2022,June,11941,"8,316",9268,104,312.37%,2673,22.39%
343,2022,July,12314,"9,368",9911,100,139.68%,2403,19.51%
344,2022,August,12486,"10,112",10203,128,-426.08%,2283,18.28%
345,2022,September,11954,"10,225",9886,128,-357.20%,2068,17.30%
346,2022,October,11527,"8,232",11156,120,-300.16%,371,3.22%
347,2022,November,11181,"3,723",10988,95,-299.62%,193,1.73%
348,2022,December,10846,"3,176",11508,91,67.31%,-662,-6.10%
349,2023,January,10919,2292,11038,113,-750.07%,-119,-1.09%
350,2023,February,10100,2600,9573,116,1223.76%,527,5.22%
351,2023,March,11336,2841,10514,150,-201.13%,822,7.25%
352,2023,April,11108,3225,9757,121,690.49%,1351,12.16%
353,2023,May,11875,5643,9891,148,2.53%,1984,16.71%
354,2023,June,11878,7968,9426,113,351.07%,2452,20.64%
355,2023,July,12295,8219,9349,108,21.15%,2946,23.96%
356,2023,August,12321,9732,9734,126,-46.26%,2587,21.00%
357,2023,September,12264,11227,9744,122,76.65%,2520,20.55%
358,2023,October,12358,7725,10496,120,-612.56%,1862,15.07%
359,2023,November,11601,3878,10854,134,43.96%,747,6.44%
360,2023,December,11652,3644,11446,125,282.35%,206,1.77%
361,2024,January,11981,2887,11573,131,-555.88%,408,3.41%
362,2024,February,11315,3275,9819,109,473.71%,1496,13.22%
363,2024,March,11851,3357,10288,130,-32.06%,1563,13.19%
364,2024,April,11813,3880,9745,105,563.79%,2068,17.51%
365,2024,May,12479,5982,9814,135,-161.87%,2665,21.36%
366,2024,June,12277,8445,9003,102,537.59%,3274,26.67%
367,2024,July,12937,7843,9653,96,136.04%,3284,25.38%
368,2024,August,13113,10735,9664,85,-711.51%,3449,26.30%
369,2024,September,12180,9909,9346,80,112.48%,2834,23.27%
370,2024,October,12317,7999,9429,69,-502.56%,2888,23.45%
371,2024,November,11698,4437,8025,50,-618.91%,3673,31.40%
372,2024,December,10974,3482,6819,28,-10000.00%,4155,37.86%
,,,,,,,,,
,371,,4366983,1927737,2890771,34524,,1476212,33.46%
,Number of years,,Total live Birth,Total Marriage,Total Deaths,Total stillbirth,,Natural population Increased,Average Natural Growth